===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2018-11-21 15:14:14
count workspace : e:\workspace-on_the_way\mp.jicu.vip
total files : 249
total code lines : 16174
total comment lines : 603
total blank lines : 950

src\api\article.js, code is 36, comment is 0, blank is 5.
src\views\i18n-demo\local.js, code is 42, comment is 0, blank is 1.
src\views\layout\components\AppMain.vue, code is 30, comment is 1, blank is 3.
src\views\layout\components\index.js, code is 4, comment is 0, blank is 0.
src\views\layout\components\Navbar.vue, code is 135, comment is 1, blank is 11.
src\views\layout\components\Sidebar\index.vue, code is 30, comment is 0, blank is 3.
src\views\layout\components\Sidebar\Item.vue, code is 27, comment is 0, blank is 2.
src\views\layout\components\Sidebar\SidebarItem.vue, code is 93, comment is 4, blank is 10.
src\views\layout\components\TagsView.vue, code is 224, comment is 5, blank is 6.
src\views\layout\Layout.vue, code is 68, comment is 0, blank is 3.
src\views\layout\mixin\ResizeHandler.js, code is 38, comment is 0, blank is 3.
src\views\login\authredirect.vue, code is 10, comment is 0, blank is 0.
src\views\login\index.vue, code is 229, comment is 21, blank is 17.
src\views\login\socialsignin.vue, code is 56, comment is 11, blank is 3.
src\views\nested\menu1\index.vue, code is 7, comment is 0, blank is 0.
src\views\nested\menu1\menu1-1\index.vue, code is 7, comment is 0, blank is 0.
src\views\nested\menu1\menu1-2\index.vue, code is 7, comment is 0, blank is 0.
src\views\nested\menu1\menu1-2\menu1-2-1\index.vue, code is 5, comment is 0, blank is 0.
src\views\nested\menu1\menu1-2\menu1-2-2\index.vue, code is 5, comment is 0, blank is 0.
src\views\nested\menu1\menu1-3\index.vue, code is 5, comment is 0, blank is 0.
src\views\nested\menu2\index.vue, code is 5, comment is 0, blank is 0.
src\views\permission\components\SwitchRoles.vue, code is 29, comment is 0, blank is 1.
src\views\permission\directive.vue, code is 67, comment is 3, blank is 5.
src\views\permission\page.vue, code is 17, comment is 0, blank is 2.
src\views\qiniu\upload.vue, code is 35, comment is 2, blank is 2.
src\views\redirect\index.vue, code is 12, comment is 1, blank is 0.
src\views\shop\index.vue, code is 330, comment is 5, blank is 13.
src\views\svg-icons\index.vue, code is 68, comment is 0, blank is 3.
src\views\svg-icons\requireIcons.js, code is 7, comment is 0, blank is 4.
src\views\tab\components\tabPane.vue, code is 91, comment is 1, blank is 11.
src\views\tab\index.vue, code is 42, comment is 0, blank is 3.
src\views\table\complexTable.vue, code is 346, comment is 6, blank is 10.
src\views\table\dragTable.vue, code is 134, comment is 4, blank is 15.
src\views\table\dynamicTable\fixedThead.vue, code is 52, comment is 4, blank is 6.
src\views\table\dynamicTable\index.vue, code is 16, comment is 0, blank is 4.
src\views\table\dynamicTable\unfixedThead.vue, code is 42, comment is 0, blank is 4.
src\views\table\inlineEditTable.vue, code is 115, comment is 2, blank is 12.
src\views\table\treeTable\customEval.js, code is 35, comment is 12, blank is 1.
src\views\table\treeTable\customTreeTable.vue, code is 128, comment is 4, blank is 4.
src\views\table\treeTable\treeTable.vue, code is 120, comment is 4, blank is 5.
src\views\theme\index.vue, code is 90, comment is 1, blank is 11.
src\views\user\index.vue, code is 106, comment is 2, blank is 8.
src\views\zip\index.vue, code is 75, comment is 0, blank is 2.
===============================================================================
